r/a,ne,nD,nT,nHe
0.7595487295081967,0.9647222554195606,0.4259727564299358,0.4259727564299358,0.02894166766258682
0.7641631967213115,0.9586467958648812,0.4233044677740014,0.4233044677740014,0.02875940387594644
0.7687518442622951,0.9526104238388102,0.4206528332193416,0.4206528332193416,0.028578312715164297
0.7733144262295083,0.9466137560425736,0.4180181431998554,0.4180181431998554,0.02839841268127721
0.7778508606557377,0.9406573854554998,0.41540067733579056,0.41540067733579056,0.028219721563664993
0.7823609426229509,0.9347418914579484,0.41280070889353365,0.41280070889353365,0.028042256743738444
0.7868445081967214,0.9288678249565172,0.4102184982371929,0.4102184982371929,0.02786603474869551
0.7913013524590164,0.9230356685113952,0.4076542752809841,0.4076542752809841,0.027691070055341854
0.7957312704918033,0.9172456814657288,0.40510817117643794,0.40510817117643794,0.027517370443971862
0.8001340163934426,0.9114975060306769,0.40258004449463386,0.40258004449463386,0.0273449251809203
0.8045093852459017,0.9057869283280048,0.4000680524500742,0.4000680524500742,0.027173607849840138
0.808857131147541,0.9001101000891456,0.3975705124566342,0.3975705124566342,0.027003303002674357
0.8131770901639345,0.8944671916306483,0.3950875138112794,0.3950875138112794,0.02683401574891945
0.8174690983606558,0.8888590455323101,0.3926194417300348,0.3926194417300348,0.026665771365969305
0.8217329508196721,0.8832878117762535,0.3901672561095647,0.3901672561095647,0.026498634353287597
0.8259685655737706,0.8777635078917234,0.3877353768300373,0.3877353768300373,0.02633290523675171
0.8301756147540983,0.8723420013706096,0.3853483887861873,0.3853483887861873,0.02617026004111829
0.8343539344262295,0.8668910352926695,0.3829481546577599,0.3829481546577599,0.026006731058780087
0.8385034016393443,0.861477119110981,0.3805639277111309,0.3805639277111309,0.025844313573329423
0.8426237704918033,0.8561006448644775,0.3781958950845449,0.3781958950845449,0.025683019345934324
0.8467148770491805,0.8507631872934006,0.37584476567113406,0.37584476567113406,0.025522895618802013
0.8507765573770492,0.8454673772607142,0.3735117159288092,0.3735117159288092,0.02536402131782143
0.8548085655737705,0.8402164317533517,0.3711981842853379,0.3711981842853379,0.025206492952600544
0.8588105327868854,0.8350154936103037,0.36890647081679906,0.36890647081679906,0.02505046480830911
0.8627820901639345,0.829873270934849,0.3666404659974864,0.3666404659974864,0.02489619812804547
0.866722868852459,0.8248013138442858,0.36440532416495724,0.36440532416495724,0.02474403941532858
0.8706324590163935,0.8198120190404521,0.3622065710620383,0.3622065710620383,0.02459436057121356
0.8745104918032788,0.8149162048509347,0.3600490214027413,0.3600490214027413,0.024447486145528042
0.8783567213114754,0.8101211660484416,0.3579359124439238,0.3579359124439238,0.02430363498145324
0.8821709016393442,0.8054299210257099,0.35586857078894435,0.35586857078894435,0.0241628976307713
0.8859528278688524,0.800841888499352,0.35384671694782444,0.35384671694782444,0.024025256654980558
0.8897020491803278,0.7963546815352599,0.35186926700525956,0.35186926700525956,0.023890640446057806
0.8934181967213115,0.7919663044434508,0.3499353119636846,0.3499353119636846,0.023758989133303522
0.89710131147541,0.787675459147503,0.348044253772835,0.348044253772835,0.02363026377442509
0.9007501639344262,0.7834808203383995,0.34619548254154303,0.34619548254154303,0.02350442461015198
0.9043640573770492,0.7793810965161402,0.34438840383884184,0.34438840383884184,0.02338143289548421
0.9079436475409837,0.7753750294167936,0.34262243846058643,0.34262243846058643,0.023261250882503803
0.9114891803278689,0.7714613935403589,0.34089702223177304,0.34089702223177304,0.02314384180621077
0.9150002049180329,0.7674920500000001,0.3391465708174964,0.3391465708174964,0.023024761499999994
0.9184761885245902,0.7637615699999998,0.3375014487469335,0.3375014487469335,0.022912847099999994
0.921916106557377,0.7601199900000002,0.3358952499035567,0.3358952499035567,0.0228035997
0.925318524590164,0.7565662,0.33432746322742724,0.33432746322742724,0.022696985999999995
0.9286817622950819,0.75309913,0.3327975958106131,0.3327975958106131,0.0225929739
0.9320041803278688,0.7497177500000001,0.3313051728249436,0.3313051728249436,0.0224915325
0.9352851229508198,0.74642103,0.3298497198032343,0.3298497198032343,0.022392630900000005
0.9385251639344262,0.743208,0.32843078905141754,0.32843078905141754,0.02229624
0.9417239754098361,0.7397508499999996,0.326903506118849,0.326903506118849,0.022192525499999994
0.9448859426229508,0.7355503599999996,0.3250471902392397,0.3250471902392397,0.022066510799999994
0.9480036475409837,0.7303195000000001,0.32273481781831465,0.32273481781831465,0.021909585
0.9510779098360655,0.7239392400000002,0.31991350681935116,0.31991350681935116,0.0217181772
0.9541100409836065,0.7161737999999999,0.3164786480621673,0.3164786480621673,0.021485213999999996
0.9570999180327868,0.7065352700000003,0.3122139696405214,0.3122139696405214,0.021196058100000005
0.9600477049180328,0.6947989600000003,0.3070193426704472,0.3070193426704472,0.020843968799999998
0.9629569262295082,0.6810035400000003,0.3009107899841391,0.3009107899841391,0.0204301062
0.9658382786885247,0.6646039899999996,0.2936453816606288,0.2936453816606288,0.019938119699999986
0.9687103278688525,0.64487889,0.2849007760129613,0.2849007760129613,0.019346366700000003
0.9715990983606557,0.621938679999999,0.2747210946528974,0.2747210946528974,0.01865816039999998
0.9745367213114754,0.59600321,0.2631967196047918,0.2631967196047918,0.01788009629999998
0.9775461885245901,0.56732607,0.2504294529982905,0.2504294529982905,0.01701978209999996
0.9806188114754097,0.5368067800000007,0.23679861529411012,0.23679861529411012,0.0161042034
0.9837048770491803,0.50549624,0.22273221214546002,0.22273221214546002,0.015164887199999977
0.9867208606557377,0.47468196999999995,0.20873434272635785,0.20873434272635785,0.01424045909999998
0.9895599590163934,0.4457454000000019,0.19560997397527793,0.19560997397527793,0.013372362000000002
0.9921341393442623,0.41922189000000004,0.18379440789194226,0.18379440789194226,0.0125766567
0.9944104918032787,0.39576839,0.17358642527313753,0.17358642527313753,0.011873051699999984
0.9963830327868852,0.3761153899999985,0.1646830187592026,0.1646830187592026,0.011283461699999987
0.9980970901639344,0.35962866,0.15413006712193608,0.15413006712193608,0.0107888598
0.9995716803278689,0.34551656999999997,0.13922472200927904,0.13922472200927904,0.0103654971
