@TEAV,TDAV,TTAV,TAAV [keV]  vs t@
X,TEAV,TDAV,TTAV,TAAV
 0.5020000E+00, 0.3222594E+01, 0.2883025E+01, 0.2879857E+01, 0.2896811E+01,
 0.5040000E+00, 0.3223784E+01, 0.2883830E+01, 0.2880658E+01, 0.2897626E+01,
 0.5060000E+00, 0.3224975E+01, 0.2884638E+01, 0.2881461E+01, 0.2898444E+01,
 0.5080000E+00, 0.3226169E+01, 0.2885450E+01, 0.2882268E+01, 0.2899266E+01,
 0.5100000E+00, 0.3227365E+01, 0.2886264E+01, 0.2883078E+01, 0.2900091E+01,
 0.5120000E+00, 0.3228563E+01, 0.2887082E+01, 0.2883892E+01, 0.2900919E+01,
 0.5140000E+00, 0.3229763E+01, 0.2887903E+01, 0.2884708E+01, 0.2901751E+01,
 0.5160000E+00, 0.3230966E+01, 0.2888728E+01, 0.2885528E+01, 0.2902586E+01,
 0.5180000E+00, 0.3232170E+01, 0.2889555E+01, 0.2886351E+01, 0.2903423E+01,
 0.5200000E+00, 0.3233376E+01, 0.2890386E+01, 0.2887177E+01, 0.2904264E+01,
 0.5220000E+00, 0.3234585E+01, 0.2891219E+01, 0.2888006E+01, 0.2905107E+01,
 0.5240000E+00, 0.3235795E+01, 0.2892056E+01, 0.2888838E+01, 0.2905954E+01,
 0.5260000E+00, 0.3237007E+01, 0.2892895E+01, 0.2889673E+01, 0.2906803E+01,
 0.5280000E+00, 0.3238222E+01, 0.2893737E+01, 0.2890511E+01, 0.2907656E+01,
 0.5300000E+00, 0.3239438E+01, 0.2894582E+01, 0.2891352E+01, 0.2908511E+01,
 0.5320000E+00, 0.3240657E+01, 0.2895430E+01, 0.2892195E+01, 0.2909369E+01,
 0.5340000E+00, 0.3241877E+01, 0.2896281E+01, 0.2893042E+01, 0.2910230E+01,
