@QF  vs t@
X,QF
 0.9360000E+00, 0.1026860E+01
 0.9380000E+00, 0.1028334E+01
 0.9400000E+00, 0.1029809E+01
 0.9420000E+00, 0.1031285E+01
 0.9440000E+00, 0.1032761E+01
 0.9460000E+00, 0.1034237E+01
 0.9480000E+00, 0.1035714E+01
 0.9500000E+00, 0.1037191E+01
 0.9520000E+00, 0.1038668E+01
 0.9540000E+00, 0.1040146E+01
 0.9560000E+00, 0.1041625E+01
 0.9580000E+00, 0.1043103E+01
 0.9600000E+00, 0.1044583E+01
 0.9620000E+00, 0.1046062E+01
 0.9640000E+00, 0.1047542E+01
 0.9660000E+00, 0.1049023E+01
 0.9680000E+00, 0.1050504E+01
 0.9700000E+00, 0.1051985E+01
 0.9720000E+00, 0.1053467E+01
 0.9740000E+00, 0.1054949E+01
 0.9760000E+00, 0.1056432E+01
 0.9780000E+00, 0.1057915E+01
 0.9800000E+00, 0.1059398E+01
 0.9820000E+00, 0.1060882E+01
 0.9840000E+00, 0.1062366E+01
 0.9860000E+00, 0.1063851E+01
 0.9880000E+00, 0.1065336E+01
 0.9900000E+00, 0.1066822E+01
 0.9920000E+00, 0.1068308E+01
 0.9940000E+00, 0.1069794E+01
 0.9960000E+00, 0.1071281E+01
 0.9980000E+00, 0.1072769E+01
 0.1000000E+01, 0.1074256E+01
 0.1002000E+01, 0.1075744E+01
 0.1004000E+01, 0.1077233E+01
 0.1006000E+01, 0.1078722E+01
 0.1008000E+01, 0.1080211E+01
 0.1010000E+01, 0.1081701E+01
 0.1012000E+01, 0.1083192E+01
 0.1014000E+01, 0.1084682E+01
 0.1016000E+01, 0.1086173E+01
 0.1018000E+01, 0.1087665E+01
 0.1020000E+01, 0.1089157E+01
 0.1022000E+01, 0.1090649E+01
 0.1024000E+01, 0.1092142E+01
 0.1026000E+01, 0.1093635E+01
 0.1028000E+01, 0.1095129E+01
 0.1030000E+01, 0.1096623E+01
 0.1032000E+01, 0.1098118E+01
 0.1034000E+01, 0.1099613E+01
 0.1036000E+01, 0.1101108E+01
 0.1038000E+01, 0.1102604E+01
 0.1040000E+01, 0.1104100E+01
 0.1042000E+01, 0.1105597E+01
 0.1044000E+01, 0.1107094E+01
 0.1046000E+01, 0.1108592E+01
 0.1048000E+01, 0.1110090E+01
 0.1050000E+01, 0.1111588E+01
 0.1052000E+01, 0.1113087E+01
 0.1054000E+01, 0.1114586E+01
 0.1056000E+01, 0.1116086E+01
 0.1058000E+01, 0.1117586E+01
 0.1060000E+01, 0.1119087E+01
 0.1062000E+01, 0.1120588E+01
 0.1064000E+01, 0.1122089E+01
 0.1066000E+01, 0.1123591E+01
 0.1068000E+01, 0.1125093E+01
 0.1070000E+01, 0.1126596E+01
