@TAUE1,TAUE2,TAUE89  vs t@
X,TAUE1,TAUE2,TAUE89
 0.4780000E+01, 0.1261723E+01, 0.1321289E+01, 0.3416118E+01,
 0.4800000E+01, 0.1262839E+01, 0.1322100E+01, 0.3416417E+01,
 0.4820000E+01, 0.1263949E+01, 0.1322907E+01, 0.3416712E+01,
 0.4840000E+01, 0.1265052E+01, 0.1323709E+01, 0.3417005E+01,
 0.4860000E+01, 0.1266148E+01, 0.1324506E+01, 0.3417295E+01,
 0.4880000E+01, 0.1267238E+01, 0.1325299E+01, 0.3417583E+01,
 0.4900000E+01, 0.1268321E+01, 0.1326087E+01, 0.3417868E+01,
 0.4920000E+01, 0.1269397E+01, 0.1326871E+01, 0.3418151E+01,
 0.4940000E+01, 0.1270467E+01, 0.1327650E+01, 0.3418432E+01,
 0.4960000E+01, 0.1271530E+01, 0.1328425E+01, 0.3418710E+01,
 0.4980000E+01, 0.1272587E+01, 0.1329196E+01, 0.3418985E+01,
 0.5000000E+01, 0.1273637E+01, 0.1329962E+01, 0.3419258E+01,
 0.5020000E+01, 0.1274681E+01, 0.1330723E+01, 0.3419529E+01,
 0.5040000E+01, 0.1275719E+01, 0.1331481E+01, 0.3419798E+01,
 0.5060000E+01, 0.1276751E+01, 0.1332234E+01, 0.3420064E+01,
 0.5080000E+01, 0.1277776E+01, 0.1332983E+01, 0.3420329E+01,
 0.5100000E+01, 0.1278796E+01, 0.1333728E+01, 0.3420591E+01,
 0.5120000E+01, 0.1279809E+01, 0.1334469E+01, 0.3420851E+01,
 0.5140000E+01, 0.1280817E+01, 0.1335206E+01, 0.3421108E+01,
 0.5160000E+01, 0.1281819E+01, 0.1335939E+01, 0.3421364E+01,
 0.5180000E+01, 0.1282814E+01, 0.1336668E+01, 0.3421617E+01,
 0.5200000E+01, 0.1283804E+01, 0.1337392E+01, 0.3421869E+01,
 0.5220000E+01, 0.1284788E+01, 0.1338113E+01, 0.3422118E+01,
 0.5240000E+01, 0.1285767E+01, 0.1338830E+01, 0.3422365E+01,
 0.5260000E+01, 0.1286739E+01, 0.1339543E+01, 0.3422611E+01,
 0.5280000E+01, 0.1287706E+01, 0.1340253E+01, 0.3422854E+01,
 0.5300000E+01, 0.1288668E+01, 0.1340958E+01, 0.3423095E+01,
 0.5320000E+01, 0.1289624E+01, 0.1341660E+01, 0.3423334E+01,
 0.5340000E+01, 0.1290574E+01, 0.1342358E+01, 0.3423572E+01,
 0.5360000E+01, 0.1291519E+01, 0.1343053E+01, 0.3423807E+01,
 0.5380000E+01, 0.1292459E+01, 0.1343743E+01, 0.3424041E+01,
 0.5400000E+01, 0.1293393E+01, 0.1344431E+01, 0.3424273E+01,
 0.5420000E+01, 0.1294322E+01, 0.1345114E+01, 0.3424502E+01,
 0.5440000E+01, 0.1295245E+01, 0.1345794E+01, 0.3424731E+01,
 0.5460000E+01, 0.1296164E+01, 0.1346471E+01, 0.3424957E+01,
 0.5480000E+01, 0.1297077E+01, 0.1347144E+01, 0.3425181E+01,
 0.5500000E+01, 0.1297985E+01, 0.1347814E+01, 0.3425404E+01,
 0.5520000E+01, 0.1298888E+01, 0.1348480E+01, 0.3425625E+01,
 0.5540000E+01, 0.1299786E+01, 0.1349143E+01, 0.3425844E+01,
 0.5560000E+01, 0.1300678E+01, 0.1349802E+01, 0.3426061E+01,
 0.5580000E+01, 0.1301566E+01, 0.1350458E+01, 0.3426277E+01,
 0.5600000E+01, 0.1302449E+01, 0.1351111E+01, 0.3426491E+01,
 0.5620000E+01, 0.1303327E+01, 0.1351761E+01, 0.3426703E+01,
 0.5640000E+01, 0.1304200E+01, 0.1352407E+01, 0.3426914E+01,
 0.5660000E+01, 0.1305068E+01, 0.1353050E+01, 0.3427123E+01,
 0.5680000E+01, 0.1305932E+01, 0.1353690E+01, 0.3427330E+01,
 0.5700000E+01, 0.1306791E+01, 0.1354327E+01, 0.3427536E+01,
 0.5720000E+01, 0.1307645E+01, 0.1354960E+01, 0.3427740E+01,
 0.5740000E+01, 0.1308494E+01, 0.1355591E+01, 0.3427942E+01,
 0.5760000E+01, 0.1309339E+01, 0.1356218E+01, 0.3428143E+01,
 0.5780000E+01, 0.1310179E+01, 0.1356842E+01, 0.3428343E+01,
 0.5800000E+01, 0.1311015E+01, 0.1357464E+01, 0.3428540E+01,
 0.5820000E+01, 0.1311846E+01, 0.1358082E+01, 0.3428737E+01,
 0.5840000E+01, 0.1312672E+01, 0.1358697E+01, 0.3428931E+01,
 0.5860000E+01, 0.1313494E+01, 0.1359310E+01, 0.3429125E+01,
 0.5880000E+01, 0.1314312E+01, 0.1359919E+01, 0.3429317E+01,
 0.5900000E+01, 0.1315125E+01, 0.1360526E+01, 0.3429507E+01,
 0.5920000E+01, 0.1315934E+01, 0.1361129E+01, 0.3429696E+01,
