@TE,TD,<TE>,<TD> [keV]  vs t@
X,TE,TD,<TE>,<TD>
 0.4180000E+00, 0.5012678E+01, 0.5001673E+01, 0.3174872E+01, 0.2852952E+01,
 0.4200000E+00, 0.5012820E+01, 0.5001808E+01, 0.3175951E+01, 0.2853565E+01,
 0.4220000E+00, 0.5012963E+01, 0.5001943E+01, 0.3177034E+01, 0.2854184E+01,
 0.4240000E+00, 0.5013105E+01, 0.5002078E+01, 0.3178119E+01, 0.2854809E+01,
 0.4260000E+00, 0.5013248E+01, 0.5002213E+01, 0.3179208E+01, 0.2855440E+01,
 0.4280000E+00, 0.5013391E+01, 0.5002348E+01, 0.3180300E+01, 0.2856076E+01,
 0.4300000E+00, 0.5013534E+01, 0.5002483E+01, 0.3181394E+01, 0.2856718E+01,
 0.4320000E+00, 0.5013677E+01, 0.5002618E+01, 0.3182492E+01, 0.2857366E+01,
 0.4340000E+00, 0.5013820E+01, 0.5002753E+01, 0.3183592E+01, 0.2858019E+01,
 0.4360000E+00, 0.5013963E+01, 0.5002889E+01, 0.3184695E+01, 0.2858678E+01,
 0.4380000E+00, 0.5014106E+01, 0.5003024E+01, 0.3185802E+01, 0.2859342E+01,
 0.4400000E+00, 0.5014249E+01, 0.5003160E+01, 0.3186911E+01, 0.2860012E+01,
 0.4420000E+00, 0.5014392E+01, 0.5003295E+01, 0.3188023E+01, 0.2860687E+01,
 0.4440000E+00, 0.5014535E+01, 0.5003431E+01, 0.3189138E+01, 0.2861367E+01,
 0.4460000E+00, 0.5014679E+01, 0.5003567E+01, 0.3190255E+01, 0.2862051E+01,
 0.4480000E+00, 0.5014822E+01, 0.5003702E+01, 0.3191375E+01, 0.2862741E+01,
 0.4500000E+00, 0.5014966E+01, 0.5003838E+01, 0.3192499E+01, 0.2863436E+01,
 0.4520000E+00, 0.5015109E+01, 0.5003974E+01, 0.3193624E+01, 0.2864136E+01,
 0.4540000E+00, 0.5015253E+01, 0.5004110E+01, 0.3194753E+01, 0.2864841E+01,
 0.4560000E+00, 0.5015396E+01, 0.5004246E+01, 0.3195884E+01, 0.2865550E+01,
 0.4580000E+00, 0.5015540E+01, 0.5004382E+01, 0.3197018E+01, 0.2866264E+01,
 0.4600000E+00, 0.5015684E+01, 0.5004518E+01, 0.3198154E+01, 0.2866982E+01,
 0.4620000E+00, 0.5015827E+01, 0.5004654E+01, 0.3199294E+01, 0.2867705E+01,
 0.4640000E+00, 0.5015971E+01, 0.5004790E+01, 0.3200435E+01, 0.2868433E+01,
 0.4660000E+00, 0.5016115E+01, 0.5004926E+01, 0.3201580E+01, 0.2869165E+01,
 0.4680000E+00, 0.5016259E+01, 0.5005063E+01, 0.3202726E+01, 0.2869901E+01,
 0.4700000E+00, 0.5016403E+01, 0.5005198E+01, 0.3203876E+01, 0.2870641E+01,
 0.4720000E+00, 0.5016547E+01, 0.5005335E+01, 0.3205028E+01, 0.2871386E+01,
 0.4740000E+00, 0.5016691E+01, 0.5005471E+01, 0.3206182E+01, 0.2872135E+01,
 0.4760000E+00, 0.5016835E+01, 0.5005608E+01, 0.3207339E+01, 0.2872888E+01,
 0.4780000E+00, 0.5016979E+01, 0.5005744E+01, 0.3208498E+01, 0.2873645E+01,
 0.4800000E+00, 0.5017123E+01, 0.5005880E+01, 0.3209660E+01, 0.2874406E+01,
 0.4820000E+00, 0.5017267E+01, 0.5006017E+01, 0.3210824E+01, 0.2875171E+01,
 0.4840000E+00, 0.5017411E+01, 0.5006154E+01, 0.3211991E+01, 0.2875940E+01,
 0.4860000E+00, 0.5017556E+01, 0.5006290E+01, 0.3213160E+01, 0.2876712E+01,
 0.4880000E+00, 0.5017700E+01, 0.5006426E+01, 0.3214331E+01, 0.2877489E+01,
 0.4900000E+00, 0.5017845E+01, 0.5006563E+01, 0.3215504E+01, 0.2878269E+01,
 0.4920000E+00, 0.5017989E+01, 0.5006700E+01, 0.3216681E+01, 0.2879053E+01,
 0.4940000E+00, 0.5018134E+01, 0.5006836E+01, 0.3217859E+01, 0.2879840E+01,
 0.4960000E+00, 0.5018278E+01, 0.5006973E+01, 0.3219039E+01, 0.2880631E+01,
 0.4980000E+00, 0.5018423E+01, 0.5007110E+01, 0.3220222E+01, 0.2881426E+01,
 0.5000000E+00, 0.5018568E+01, 0.5007246E+01, 0.3221407E+01, 0.2882224E+01,
 0.5020000E+00, 0.5018712E+01, 0.5007383E+01, 0.3222594E+01, 0.2883025E+01,
 0.5040000E+00, 0.5018857E+01, 0.5007520E+01, 0.3223784E+01, 0.2883830E+01,
 0.5060000E+00, 0.5019001E+01, 0.5007657E+01, 0.3224975E+01, 0.2884638E+01,
 0.5080000E+00, 0.5019146E+01, 0.5007793E+01, 0.3226169E+01, 0.2885450E+01,
 0.5100000E+00, 0.5019291E+01, 0.5007930E+01, 0.3227365E+01, 0.2886264E+01,
 0.5120000E+00, 0.5019436E+01, 0.5008067E+01, 0.3228563E+01, 0.2887082E+01,
 0.5140000E+00, 0.5019581E+01, 0.5008204E+01, 0.3229763E+01, 0.2887903E+01,
 0.5160000E+00, 0.5019726E+01, 0.5008341E+01, 0.3230966E+01, 0.2888728E+01,
 0.5180000E+00, 0.5019871E+01, 0.5008478E+01, 0.3232170E+01, 0.2889555E+01,
 0.5200000E+00, 0.5020016E+01, 0.5008615E+01, 0.3233376E+01, 0.2890386E+01,
 0.5220000E+00, 0.5020162E+01, 0.5008752E+01, 0.3234585E+01, 0.2891219E+01,
 0.5240000E+00, 0.5020307E+01, 0.5008889E+01, 0.3235795E+01, 0.2892056E+01,
 0.5260000E+00, 0.5020452E+01, 0.5009026E+01, 0.3237007E+01, 0.2892895E+01,
 0.5280000E+00, 0.5020597E+01, 0.5009163E+01, 0.3238222E+01, 0.2893737E+01,
 0.5300000E+00, 0.5020742E+01, 0.5009300E+01, 0.3239438E+01, 0.2894582E+01,
 0.5320000E+00, 0.5020888E+01, 0.5009437E+01, 0.3240657E+01, 0.2895430E+01,
 0.5340000E+00, 0.5021033E+01, 0.5009574E+01, 0.3241877E+01, 0.2896281E+01,
 0.5360000E+00, 0.5021178E+01, 0.5009711E+01, 0.3243099E+01, 0.2897135E+01,
