@PIN,POH,PNB,PRF,PNF,PEX [MW]  vs t@
X,PIN,POH,PNB,PRF,PNF,PEX
 0.3120000E+00, 0.1499487E+03, 0.2903861E+02, 0.0000000E+00, 0.1050000E+03, 0.1591010E+02, 0.1050000E+03,
 0.3140000E+00, 0.1500206E+03, 0.2907421E+02, 0.0000000E+00, 0.1050000E+03, 0.1594642E+02, 0.1050000E+03,
 0.3160000E+00, 0.1500922E+03, 0.2910942E+02, 0.0000000E+00, 0.1050000E+03, 0.1598282E+02, 0.1050000E+03,
 0.3180000E+00, 0.1501635E+03, 0.2914422E+02, 0.0000000E+00, 0.1050000E+03, 0.1601929E+02, 0.1050000E+03,
 0.3200000E+00, 0.1502345E+03, 0.2917862E+02, 0.0000000E+00, 0.1050000E+03, 0.1605584E+02, 0.1050000E+03,
 0.3220000E+00, 0.1503051E+03, 0.2921263E+02, 0.0000000E+00, 0.1050000E+03, 0.1609246E+02, 0.1050000E+03,
 0.3240000E+00, 0.1503746E+03, 0.2924550E+02, 0.0000000E+00, 0.1050000E+03, 0.1612916E+02, 0.1050000E+03,
 0.3260000E+00, 0.1504446E+03, 0.2927873E+02, 0.0000000E+00, 0.1050000E+03, 0.1616592E+02, 0.1050000E+03,
 0.3280000E+00, 0.1505143E+03, 0.2931158E+02, 0.0000000E+00, 0.1050000E+03, 0.1620275E+02, 0.1050000E+03,
 0.3300000E+00, 0.1505837E+03, 0.2934406E+02, 0.0000000E+00, 0.1050000E+03, 0.1623964E+02, 0.1050000E+03,
 0.3320000E+00, 0.1506528E+03, 0.2937622E+02, 0.0000000E+00, 0.1050000E+03, 0.1627660E+02, 0.1050000E+03,
 0.3340000E+00, 0.1507216E+03, 0.2940795E+02, 0.0000000E+00, 0.1050000E+03, 0.1631362E+02, 0.1050000E+03,
 0.3360000E+00, 0.1507900E+03, 0.2943931E+02, 0.0000000E+00, 0.1050000E+03, 0.1635070E+02, 0.1050000E+03,
 0.3380000E+00, 0.1508581E+03, 0.2947030E+02, 0.0000000E+00, 0.1050000E+03, 0.1638785E+02, 0.1050000E+03,
 0.3400000E+00, 0.1509260E+03, 0.2950093E+02, 0.0000000E+00, 0.1050000E+03, 0.1642505E+02, 0.1050000E+03,
 0.3420000E+00, 0.1509935E+03, 0.2953120E+02, 0.0000000E+00, 0.1050000E+03, 0.1646230E+02, 0.1050000E+03,
 0.3440000E+00, 0.1510607E+03, 0.2956112E+02, 0.0000000E+00, 0.1050000E+03, 0.1649961E+02, 0.1050000E+03,
 0.3460000E+00, 0.1511277E+03, 0.2959068E+02, 0.0000000E+00, 0.1050000E+03, 0.1653697E+02, 0.1050000E+03,
 0.3480000E+00, 0.1511943E+03, 0.2961989E+02, 0.0000000E+00, 0.1050000E+03, 0.1657439E+02, 0.1050000E+03,
 0.3500000E+00, 0.1512606E+03, 0.2964876E+02, 0.0000000E+00, 0.1050000E+03, 0.1661185E+02, 0.1050000E+03,
 0.3520000E+00, 0.1513266E+03, 0.2967729E+02, 0.0000000E+00, 0.1050000E+03, 0.1664936E+02, 0.1050000E+03,
 0.3540000E+00, 0.1513924E+03, 0.2970547E+02, 0.0000000E+00, 0.1050000E+03, 0.1668692E+02, 0.1050000E+03,
 0.3560000E+00, 0.1514578E+03, 0.2973332E+02, 0.0000000E+00, 0.1050000E+03, 0.1672452E+02, 0.1050000E+03,
 0.3580000E+00, 0.1515230E+03, 0.2976084E+02, 0.0000000E+00, 0.1050000E+03, 0.1676216E+02, 0.1050000E+03,
 0.3600000E+00, 0.1515879E+03, 0.2978802E+02, 0.0000000E+00, 0.1050000E+03, 0.1679985E+02, 0.1050000E+03,
 0.3620000E+00, 0.1516525E+03, 0.2981488E+02, 0.0000000E+00, 0.1050000E+03, 0.1683758E+02, 0.1050000E+03,
 0.3640000E+00, 0.1517168E+03, 0.2984141E+02, 0.0000000E+00, 0.1050000E+03, 0.1687534E+02, 0.1050000E+03,
 0.3660000E+00, 0.1517808E+03, 0.2986761E+02, 0.0000000E+00, 0.1050000E+03, 0.1691315E+02, 0.1050000E+03,
 0.3680000E+00, 0.1518445E+03, 0.2989350E+02, 0.0000000E+00, 0.1050000E+03, 0.1695098E+02, 0.1050000E+03,
 0.3700000E+00, 0.1519079E+03, 0.2991907E+02, 0.0000000E+00, 0.1050000E+03, 0.1698886E+02, 0.1050000E+03,
 0.3720000E+00, 0.1519711E+03, 0.2994433E+02, 0.0000000E+00, 0.1050000E+03, 0.1702677E+02, 0.1050000E+03,
 0.3740000E+00, 0.1520340E+03, 0.2996928E+02, 0.0000000E+00, 0.1050000E+03, 0.1706471E+02, 0.1050000E+03,
 0.3760000E+00, 0.1520966E+03, 0.2999391E+02, 0.0000000E+00, 0.1050000E+03, 0.1710268E+02, 0.1050000E+03,
 0.3780000E+00, 0.1521589E+03, 0.3001824E+02, 0.0000000E+00, 0.1050000E+03, 0.1714068E+02, 0.1050000E+03,
 0.3800000E+00, 0.1522210E+03, 0.3004227E+02, 0.0000000E+00, 0.1050000E+03, 0.1717871E+02, 0.1050000E+03,
 0.3820000E+00, 0.1522828E+03, 0.3006600E+02, 0.0000000E+00, 0.1050000E+03, 0.1721677E+02, 0.1050000E+03,
