@BETAPa,BETAP0  vs t@
X,BETAPa,BETAP0
 0.6500000E+01, 0.2058558E+00, 0.4650699E+00,
 0.6520000E+01, 0.2059443E+00, 0.4655567E+00,
 0.6540000E+01, 0.2060325E+00, 0.4660422E+00,
 0.6560000E+01, 0.2061203E+00, 0.4665267E+00,
 0.6580000E+01, 0.2062076E+00, 0.4670101E+00,
 0.6600000E+01, 0.2062946E+00, 0.4674925E+00,
 0.6620000E+01, 0.2063811E+00, 0.4679738E+00,
 0.6640000E+01, 0.2064673E+00, 0.4684540E+00,
 0.6660000E+01, 0.2065531E+00, 0.4689331E+00,
 0.6680000E+01, 0.2066385E+00, 0.4694112E+00,
 0.6700000E+01, 0.2067235E+00, 0.4698883E+00,
 0.6720000E+01, 0.2068081E+00, 0.4703642E+00,
 0.6740000E+01, 0.2068923E+00, 0.4708392E+00,
 0.6760000E+01, 0.2069762E+00, 0.4713131E+00,
 0.6780000E+01, 0.2070596E+00, 0.4717860E+00,
 0.6800000E+01, 0.2071427E+00, 0.4722578E+00,
 0.6820000E+01, 0.2072255E+00, 0.4727286E+00,
 0.6840000E+01, 0.2073078E+00, 0.4731984E+00,
 0.6860000E+01, 0.2073898E+00, 0.4736672E+00,
 0.6880000E+01, 0.2074715E+00, 0.4741349E+00,
 0.6900000E+01, 0.2075528E+00, 0.4746017E+00,
 0.6920000E+01, 0.2076337E+00, 0.4750674E+00,
 0.6940000E+01, 0.2077143E+00, 0.4755321E+00,
 0.6960000E+01, 0.2077945E+00, 0.4759959E+00,
 0.6980000E+01, 0.2078744E+00, 0.4764586E+00,
 0.7000000E+01, 0.2079539E+00, 0.4769204E+00,
 0.7020000E+01, 0.2080331E+00, 0.4773812E+00,
 0.7040000E+01, 0.2081119E+00, 0.4778410E+00,
 0.7060000E+01, 0.2081904E+00, 0.4782998E+00,
 0.7080000E+01, 0.2082686E+00, 0.4787576E+00,
 0.7100000E+01, 0.2083464E+00, 0.4792145E+00,
 0.7120000E+01, 0.2084239E+00, 0.4796703E+00,
 0.7140000E+01, 0.2085011E+00, 0.4801253E+00,
 0.7160000E+01, 0.2085779E+00, 0.4805793E+00,
 0.7180000E+01, 0.2086544E+00, 0.4810323E+00,
 0.7200000E+01, 0.2087306E+00, 0.4814844E+00,
 0.7220000E+01, 0.2088065E+00, 0.4819355E+00,
 0.7240000E+01, 0.2088820E+00, 0.4823857E+00,
 0.7260000E+01, 0.2089573E+00, 0.4828349E+00,
 0.7280000E+01, 0.2090322E+00, 0.4832832E+00,
 0.7300000E+01, 0.2091068E+00, 0.4837306E+00,
 0.7320000E+01, 0.2091811E+00, 0.4841770E+00,
 0.7340000E+01, 0.2092551E+00, 0.4846225E+00,
 0.7360000E+01, 0.2093288E+00, 0.4850671E+00,
 0.7380000E+01, 0.2094022E+00, 0.4855108E+00,
 0.7400000E+01, 0.2094753E+00, 0.4859536E+00,
 0.7420000E+01, 0.2095481E+00, 0.4863954E+00,
 0.7440000E+01, 0.2096206E+00, 0.4868364E+00,
 0.7460000E+01, 0.2096928E+00, 0.4872764E+00,
 0.7480000E+01, 0.2097647E+00, 0.4877155E+00,
 0.7500000E+01, 0.2098363E+00, 0.4881538E+00,
 0.7520000E+01, 0.2099076E+00, 0.4885911E+00,
 0.7540000E+01, 0.2099787E+00, 0.4890276E+00,
 0.7560000E+01, 0.2100494E+00, 0.4894632E+00,
 0.7580000E+01, 0.2101199E+00, 0.4898978E+00,
 0.7600000E+01, 0.2101901E+00, 0.4903316E+00,
 0.7620000E+01, 0.2102600E+00, 0.4907646E+00,
 0.7640000E+01, 0.2103296E+00, 0.4911966E+00,
 0.7660000E+01, 0.2103990E+00, 0.4916278E+00,
 0.7680000E+01, 0.2104681E+00, 0.4920581E+00,
 0.7700000E+01, 0.2105369E+00, 0.4924875E+00,
 0.7720000E+01, 0.2106054E+00, 0.4929161E+00,
 0.7740000E+01, 0.2106737E+00, 0.4933439E+00,
 0.7760000E+01, 0.2107417E+00, 0.4937707E+00,
 0.7780000E+01, 0.2108095E+00, 0.4941968E+00,
 0.7800000E+01, 0.2108769E+00, 0.4946220E+00,
 0.7820000E+01, 0.2109442E+00, 0.4950463E+00,
 0.7840000E+01, 0.2110111E+00, 0.4954698E+00,
 0.7860000E+01, 0.2110778E+00, 0.4958924E+00,
 0.7880000E+01, 0.2111443E+00, 0.4963143E+00,
 0.7900000E+01, 0.2112105E+00, 0.4967352E+00,
 0.7920000E+01, 0.2112764E+00, 0.4971554E+00,
 0.7940000E+01, 0.2113421E+00, 0.4975747E+00,
 0.7960000E+01, 0.2114076E+00, 0.4979932E+00,
 0.7980000E+01, 0.2114728E+00, 0.4984109E+00,
 0.8000000E+01, 0.2115377E+00, 0.4988278E+00,
 0.8020000E+01, 0.2116025E+00, 0.4992439E+00,
 0.8040000E+01, 0.2116669E+00, 0.4996591E+00,
 0.8060000E+01, 0.2117312E+00, 0.5000736E+00,
 0.8080000E+01, 0.2117952E+00, 0.5004871E+00,
 0.8100000E+01, 0.2118589E+00, 0.5009000E+00,
 0.8120000E+01, 0.2119224E+00, 0.5013120E+00,
 0.8140000E+01, 0.2119857E+00, 0.5017232E+00,
 0.8160000E+01, 0.2120488E+00, 0.5021337E+00,
 0.8180000E+01, 0.2121116E+00, 0.5025433E+00,
 0.8200000E+01, 0.2121742E+00, 0.5029522E+00,
 0.8220000E+01, 0.2122366E+00, 0.5033603E+00,
 0.8240000E+01, 0.2122987E+00, 0.5037675E+00,
 0.8260000E+01, 0.2123606E+00, 0.5041741E+00,
 0.8280000E+01, 0.2124223E+00, 0.5045798E+00,
 0.8300000E+01, 0.2124838E+00, 0.5049848E+00,
 0.8320000E+01, 0.2125450E+00, 0.5053890E+00,
 0.8340000E+01, 0.2126061E+00, 0.5057924E+00,
 0.8360000E+01, 0.2126669E+00, 0.5061951E+00,
 0.8380000E+01, 0.2127275E+00, 0.5065969E+00,
 0.8400000E+01, 0.2127879E+00, 0.5069981E+00,
 0.8420000E+01, 0.2128480E+00, 0.5073985E+00,
 0.8440000E+01, 0.2129080E+00, 0.5077981E+00,
 0.8460000E+01, 0.2129677E+00, 0.5081969E+00,
 0.8480000E+01, 0.2130273E+00, 0.5085951E+00,
 0.8500000E+01, 0.2130866E+00, 0.5089924E+00,
 0.8520000E+01, 0.2131457E+00, 0.5093891E+00,
 0.8540000E+01, 0.2132046E+00, 0.5097850E+00,
 0.8560000E+01, 0.2132633E+00, 0.5101801E+00,
 0.8580000E+01, 0.2133218E+00, 0.5105746E+00,
 0.8600000E+01, 0.2133801E+00, 0.5109683E+00,
 0.8620000E+01, 0.2134382E+00, 0.5113612E+00,
 0.8640000E+01, 0.2134961E+00, 0.5117534E+00,
 0.8660000E+01, 0.2135539E+00, 0.5121449E+00,
 0.8680000E+01, 0.2136114E+00, 0.5125357E+00,
 0.8700000E+01, 0.2136687E+00, 0.5129257E+00,
 0.8720000E+01, 0.2137258E+00, 0.5133151E+00,
 0.8740000E+01, 0.2137827E+00, 0.5137037E+00,
 0.8760000E+01, 0.2138395E+00, 0.5140916E+00,
 0.8780000E+01, 0.2138960E+00, 0.5144789E+00,
 0.8800000E+01, 0.2139523E+00, 0.5148653E+00,
 0.8820000E+01, 0.2140085E+00, 0.5152511E+00,
 0.8840000E+01, 0.2140645E+00, 0.5156362E+00,
 0.8860000E+01, 0.2141203E+00, 0.5160206E+00,
 0.8880000E+01, 0.2141759E+00, 0.5164043E+00,
