psi_index,theta_index,theta_rad,R_m,Z_m,PSIP
   4,   1,  0.00000000E+00,  0.86832247E+01,  0.88825232E+00,  0.26428449E+00
   4,   2,  0.98174770E-01,  0.86826935E+01,  0.90487731E+00,  0.26428449E+00
   4,   3,  0.19634954E+00,  0.86812553E+01,  0.92144835E+00,  0.26428449E+00
   4,   4,  0.29452431E+00,  0.86788931E+01,  0.93791306E+00,  0.26428449E+00
   4,   5,  0.39269908E+00,  0.86755886E+01,  0.95421463E+00,  0.26428449E+00
   4,   6,  0.49087385E+00,  0.86713209E+01,  0.97029084E+00,  0.26428449E+00
   4,   7,  0.58904862E+00,  0.86660671E+01,  0.98607200E+00,  0.26428449E+00
   4,   8,  0.68722339E+00,  0.86597986E+01,  0.10014778E+01,  0.26428449E+00
   4,   9,  0.78539816E+00,  0.86524744E+01,  0.10164102E+01,  0.26428449E+00
   4,  10,  0.88357293E+00,  0.86440306E+01,  0.10307379E+01,  0.26428449E+00
   4,  11,  0.98174770E+00,  0.86343956E+01,  0.10442923E+01,  0.26428449E+00
   4,  12,  0.10799225E+01,  0.86235046E+01,  0.10568578E+01,  0.26428449E+00
   4,  13,  0.11780972E+01,  0.86113110E+01,  0.10681598E+01,  0.26428449E+00
   4,  14,  0.12762720E+01,  0.85978079E+01,  0.10778556E+01,  0.26428449E+00
   4,  15,  0.13744468E+01,  0.85830574E+01,  0.10855117E+01,  0.26428449E+00
   4,  16,  0.14726216E+01,  0.85672493E+01,  0.10906225E+01,  0.26428449E+00
   4,  17,  0.15707963E+01,  0.85507736E+01,  0.10927224E+01,  0.26428449E+00
   4,  18,  0.16689711E+01,  0.85342064E+01,  0.10915542E+01,  0.26428449E+00
   4,  19,  0.17671459E+01,  0.85181875E+01,  0.10871656E+01,  0.26428449E+00
   4,  20,  0.18653206E+01,  0.85032568E+01,  0.10798798E+01,  0.26428449E+00
   4,  21,  0.19634954E+01,  0.84897394E+01,  0.10702118E+01,  0.26428449E+00
   4,  22,  0.20616702E+01,  0.84777470E+01,  0.10587006E+01,  0.26428449E+00
   4,  23,  0.21598449E+01,  0.84672499E+01,  0.10458065E+01,  0.26428449E+00
   4,  24,  0.22580197E+01,  0.84581575E+01,  0.10318830E+01,  0.26428449E+00
   4,  25,  0.23561945E+01,  0.84503613E+01,  0.10171933E+01,  0.26428449E+00
   4,  26,  0.24543693E+01,  0.84437428E+01,  0.10019351E+01,  0.26428449E+00
   4,  27,  0.25525440E+01,  0.84381952E+01,  0.98625487E+00,  0.26428449E+00
   4,  28,  0.26507188E+01,  0.84336443E+01,  0.97025657E+00,  0.26428449E+00
   4,  29,  0.27488936E+01,  0.84300346E+01,  0.95401978E+00,  0.26428449E+00
   4,  30,  0.28470683E+01,  0.84273186E+01,  0.93760949E+00,  0.26428449E+00
   4,  31,  0.29452431E+01,  0.84254599E+01,  0.92107999E+00,  0.26428449E+00
   4,  32,  0.30434179E+01,  0.84244261E+01,  0.90447825E+00,  0.26428449E+00
   4,  33,  0.31415927E+01,  0.84241934E+01,  0.88784593E+00,  0.26428449E+00
   4,  34,  0.32397674E+01,  0.84247408E+01,  0.87122095E+00,  0.26428449E+00
   4,  35,  0.33379422E+01,  0.84260654E+01,  0.85463983E+00,  0.26428449E+00
   4,  36,  0.34361170E+01,  0.84281940E+01,  0.83814275E+00,  0.26428449E+00
   4,  37,  0.35342917E+01,  0.84311600E+01,  0.82177579E+00,  0.26428449E+00
   4,  38,  0.36324665E+01,  0.84350061E+01,  0.80559307E+00,  0.26428449E+00
   4,  39,  0.37306413E+01,  0.84397793E+01,  0.78965968E+00,  0.26428449E+00
   4,  40,  0.38288160E+01,  0.84455376E+01,  0.77405596E+00,  0.26428449E+00
   4,  41,  0.39269908E+01,  0.84523506E+01,  0.75888354E+00,  0.26428449E+00
   4,  42,  0.40251656E+01,  0.84602985E+01,  0.74427420E+00,  0.26428449E+00
   4,  43,  0.41233404E+01,  0.84694796E+01,  0.73040909E+00,  0.26428449E+00
   4,  44,  0.42215151E+01,  0.84800081E+01,  0.71754014E+00,  0.26428449E+00
   4,  45,  0.43196899E+01,  0.84919844E+01,  0.70601076E+00,  0.26428449E+00
   4,  46,  0.44178647E+01,  0.85054522E+01,  0.69627231E+00,  0.26428449E+00
   4,  47,  0.45160394E+01,  0.85203228E+01,  0.68886429E+00,  0.26428449E+00
   4,  48,  0.46142142E+01,  0.85362997E+01,  0.68432117E+00,  0.26428449E+00
